x,y,tuple,type
48.90200624585975,298.7248036339556,45,up
48.88970379483297,180.00615122551199,45,down
50.14005867322797,245.930727737295,46,mean
50.14715624112804,314.42225797293554,46,up
50.13343427652124,182.00529951736394,46,down
51.3849720828996,259.3451310684204,47,mean
51.393962335573015,346.1010693668984,47,up
51.37669158701619,179.43834579350664,47,down
52.62988549257121,272.7595343995456,48,mean
52.64053184442131,375.4968297530063,48,up
52.619948897511115,176.87139206964866,48,down
53.66754991956089,286.22125485000447,49,mean
53.679852370587675,404.9399072584481,49,up
53.65595722532412,174.35175546512505,49,down
54.91317308602253,306.4848112046934,50,mean
54.97823412510646,434.3238383647224,50,up
54.951263367086206,174.05602346928845,50,down
